#reaction	model_id	name	compartment	irreversible	stoichiometry	Vmax	Delta G [kJ/mol]	EC	KEGG	UniProt	SBO	SBO name
1	GLUT2	 GLUT2 glucose transporter (facilitated diffusion) 	pm	N	1 glc_ext <-> 1 glc	420	0			UNIPROT:P11168	SBO:0000284	transporter
2	GK	 Glucokinase, hexokinase IV 	cyto	Y	 1 atp + 1 glc -> 1 adp + 1 glc6p	25.2	-16.7	EC:2.7.1.2	KEGG:R00299	UNIPROT:P35557	SBO:0000014	enzyme
3	G6PASE	 Glucose-6-phosphatase 	cyto	Y	1 glc6p + 1 h2o -> 1 glc + 1 p	18.9	-13.8	EC:3.1.3.9	KEGG:R00303	UNIPROT:P35575	SBO:0000014	enzyme
4	GPI	 Glucose-6-phosphate isomerase 	cyto	N	1 glc6p <-> fru6p	420	1.7	EC:5.3.1.9	KEGG:R00771	UNIPROT:P06744 	SBO:0000014	enzyme
5	G16PI	 glucose-1-phosphate 1,6-phosphomutase 	cyto	N	1 glc1p <-> 1 glc6p	100	-7.1	EC:5.4.2.2	KEGG:R00959	UNIPROT:P36871, UNIPROT:Q96G03	SBO:0000014	enzyme
6	UPGASE	 UTP:Glucose-1-phosphate uridylyltransferase 	cyto	N	1 glc1p + utp <-> 1 udpglc + pp	80	3	EC:2.7.7.9	KEGG:R00289	UNIPROT:Q16851	SBO:0000014	enzyme
7	PPASE	 Pyrophosphate phosphohydrolase 	cyto	Y	1 pp + 1 h2o -> 2 p	2.4	-19.1	EC:3.6.1.1	KEGG:R00004	UNIPROT:Q15181	SBO:0000014	enzyme
8	GS	 Glycogen synthase 	cyto	Y	1 udpglc + 1 udp -> 1 glyglc	13.2	0 (?)			UNIPROT:P54840	SBO:0000014	enzyme
9	GP	 Glycogen phosphorylase 	cyto	N	1 glyglc + 1 p <-> 1 glc1p	6.8	4			UNIPROT:P06737	SBO:0000014	enzyme
10	NTK (GTP)	 Nucleosid diphosphate kinase (GTP) 	cyto	N	1 atp + 1 gdp <-> 1 adp + 1 gtp	0	0	EC:2.7.4.6	KEGG:R00330		SBO:0000014	enzyme
11	NTK (UTP)	 Nucleosid diphosphate kinase (UTP) 	cyto	N	1 atp + 1 udp <-> 1 adp + 1 utp	2940	0	EC:2.7.4.6	KEGG:R00156		SBO:0000014	enzyme
12	AK	 Adenylat kinase 	cyto	N	1 atp + 1 amp <-> 2 adp	0	3.6	EC:2.7.4.3	KEGG:R00127		SBO:0000014	enzyme
13	PFK2	 Phosphofructo kinase 2	cyto	Y	1 atp + 1 fru6p -> 1 adp + 1 fru26bp	0.0042	-14.2	EC:2.7.1.105	KEGG:R02732	UNIPROT:P16118	SBO:0000014	enzyme
14	FBP2	 Fructose-2,6-bisphosphatase 	cyto	Y	1 fru26bp + 1 h2o -> 1 p + 1 fru6p	0.126	-16.3	EC:3.1.3.46	KEGG:R02731	UNIPROT:P16118	SBO:0000014	enzyme
15	PFK1	 Phosphofructo kinase 1	cyto	Y	1 atp + 1 fru6p -> 1 adp + 1 fru16bp	7.182	-14.2	EC:2.7.1.11	KEGG:R00756	UNIPROT:P17858	SBO:0000014	enzyme
16	FBP1	 Fructose-1,6-bisphosphatase 	cyto	Y	1 fru16bp + 1 h2o -> 1 p + 1 fru6p	4.326	-16.3	EC:3.1.3.11	KEGG:R00762	UNIPROT:O00757, UNIPROT:P09467	SBO:0000014	enzyme
17	ALD	 Aldolase 	cyto	N	1 fru16bp <-> 1 dhap + 1 grap	420	23.8	EC:4.1.2.13	KEGG:R01068	UNIPROT:P05062	SBO:0000014	enzyme
